transition_proba,skip,n_functions,n_cores,run,total_work,max_endtime,latency,hit_ratio
0.5,10,3,16,41,6548,999280,100762.99999999972,98.87
0.5,10,3,16,42,6578,999100,84055.99999999948,99.5
0.5,10,3,16,43,6551,999370,108285.0,99.225
0.5,10,3,16,44,6586,998830,91038.99999999846,99.37
0.5,10,3,16,45,6536,999460,89149.99999999971,98.535
0.5,10,3,16,46,6519,999190,76446.4,99.235
0.5,10,3,16,47,6568,999100,67650.99999999994,99.33
0.5,10,3,16,48,6510,999370,60982.79999999999,98.385
0.5,10,3,16,49,6564,999550,169607.99999999965,99.22
0.5,10,3,32,0,6577,999370,97888.39999999997,99.225
0.5,10,3,32,1,6515,999190,59055.999999999476,98.97
0.5,10,3,32,2,6573,999190,80948.79999999962,99.41
0.5,10,3,32,3,6509,998740,85696.00000000009,98.16
0.5,10,3,32,4,6592,997750,82476.0000000002,99.125
0.5,10,3,32,5,6582,999010,176600.99999999962,99.025
0.5,10,3,32,6,6503,998470,65088.39999999975,98.415
0.5,10,3,32,7,6583,999550,190132.0000000003,99.46
0.5,10,3,32,8,6491,998920,48238.000000000065,97.985
0.5,10,3,32,9,6524,999280,59865.49999999993,98.55
0.5,10,3,32,10,6543,998920,228907.79999999952,99.23
0.5,10,3,32,11,6572,999280,99739.3,99.39
0.5,10,3,32,12,6549,999370,244215.99999999843,99.075
0.5,10,3,32,13,6564,998470,78060.0,98.99
0.5,10,3,32,14,6560,998830,74486.4,98.895
0.5,10,3,32,15,6530,999190,65754.00000000006,99.25
0.5,10,3,32,16,6528,999370,99181.09999999998,99.04
0.5,10,3,32,17,6554,999100,176151.00000000081,98.67
0.5,10,3,32,18,6517,999100,61982.40000000005,98.565
0.5,10,3,32,19,6571,999190,75869.00000000041,99.065
0.5,10,3,32,20,6592,999190,90454.00000000009,99.47
0.5,10,3,32,21,6549,998560,63752.39999999983,98.785
0.5,10,3,32,22,6578,998830,98507.59999999907,99.125
0.5,10,3,32,23,6548,998380,66318.29999999973,99.25
0.5,10,3,32,24,6526,999370,64467.5,98.55
0.5,10,3,32,25,6536,998650,74933.99999999914,99.52
0.5,10,3,32,26,6586,999280,111289.99999999956,99.815
0.5,10,3,32,27,6551,998920,85855.0,99.325
0.5,10,3,32,28,6561,999550,164929.9999999979,98.94
0.5,10,3,32,29,6543,998560,78187.19999999975,99.065
0.5,10,3,32,30,6576,999190,88082.5,99.665
0.5,10,3,32,31,6481,999010,52851.999999999985,98.205
0.5,10,3,32,32,6568,999100,86052.09999999998,99.345
0.5,10,3,32,33,6576,999820,137250.0,99.135
0.5,10,3,32,34,6535,999640,47940.59999999994,99.715
0.5,10,3,32,35,6600,999370,106028.30000000061,99.915
0.5,10,3,32,36,6600,998380,128347.80000000105,99.43
0.5,10,3,32,37,6577,998650,113732.39999999979,99.175
0.5,10,3,32,38,6531,999550,67470.9999999999,98.555
0.5,10,3,32,39,6583,997480,69079.40000000082,99.475
0.5,10,3,32,40,6587,999280,137487.60000000175,99.38
0.5,10,3,32,41,6557,998830,86089.9999999998,99.195
0.5,10,3,32,42,6512,998830,52852.50000000008,99.23
0.5,10,3,32,43,6522,999550,84006.6999999999,98.66
0.5,10,3,32,44,6490,999280,78021.69999999984,97.93
0.5,10,3,32,45,6562,999640,63735.00000000017,99.635
0.5,10,3,32,46,6495,999550,68775.9999999997,98.465
0.5,10,3,32,47,6549,999010,83211.99999999994,99.21
0.5,10,3,32,48,6591,998290,137770.00000000026,99.515
0.5,10,3,32,49,6534,998920,81553.40000000007,98.81
0.5,100,3,1,0,6563,999640,67749.80000000008,99.3
0.5,100,3,1,1,6576,999190,139587.5,99.09
0.5,100,3,1,2,6544,999190,68435.29999999992,98.99
0.5,100,3,1,3,6448,998740,48800.69999999995,97.42
0.5,100,3,1,4,6613,999280,161353.6000000006,99.73
0.5,100,3,1,5,6602,999280,188699.0,99.84
0.5,100,3,1,6,6580,999460,138505.00000000006,99.49
0.5,100,3,1,7,6569,999010,93019.99999999985,99.56
0.5,100,3,1,8,6561,999730,110275.99999999897,99.05
0.5,100,3,1,9,6597,998380,118334.39999999997,99.325
0.5,100,3,1,10,6603,999370,186329.9999999976,99.61
0.5,100,3,1,11,6543,998380,61519.79999999998,99.17
0.5,100,3,1,12,6518,999550,49700.09999999996,98.965
0.5,100,3,1,13,6518,999100,80439.99999999978,99.185
0.5,100,3,1,14,6594,998470,131845.8999999999,99.355
0.5,100,3,1,15,6558,998380,119116.10000000008,99.54
0.5,100,3,1,16,6555,998290,66928.60000000017,99.465
0.5,100,3,1,17,6533,999010,60526.80000000015,98.85
0.5,100,3,1,18,6519,997930,93138.39999999997,98.465
0.5,100,3,1,19,6540,999550,126595.9999999998,99.285
0.5,100,3,1,20,6591,998830,137510.000000001,99.39
0.5,100,3,1,21,6592,999280,115560.10000000057,99.465
0.5,100,3,1,22,6573,999100,82865.19999999998,99.43
0.5,100,3,1,23,6550,998830,151754.00000000073,98.965
0.5,100,3,1,24,6575,998920,134710.00000000064,99.405
0.5,100,3,1,25,6603,999100,96782.19999999896,99.49
0.5,100,3,1,26,6562,999730,110692.50000000025,99.46
0.5,100,3,1,27,6583,998560,120890.6000000002,99.38
0.5,100,3,1,28,6576,998830,127657.5,99.065
0.5,100,3,1,29,6580,998740,182929.50000000003,99.33
0.5,100,3,1,30,6589,998290,89263.5999999998,99.485
0.5,100,3,1,31,6497,999190,62904.79999999993,98.095
0.5,100,3,1,32,6553,998740,112689.99999999978,99.165
0.5,100,3,1,33,6524,999730,72687.19999999936,98.48
0.5,100,3,1,34,6554,999820,80949.9000000003,98.82
0.5,100,3,1,35,6549,999280,128433.19999999933,98.73
0.5,100,3,1,36,6624,999460,120203.59999999874,99.765
0.5,100,3,1,37,6547,998110,89363.4,99.02
0.5,100,3,1,38,6572,998560,194416.9999999999,99.315
